Month,Item,Purchase Qty,Sell Qty,Purchase Rate (₹),Selling Price (₹),Monthly Sales (₹),Total Cost price,Profit monthly,Profit/item,,,,Purchase Qty,Sell Qty,Purchase Rate (₹),Selling Price (₹),Monthly Sales (₹),Total Cost price,Profit monthly,Profit/item
Jan,Sugar,50,48,40,45,2160,1920,240,5,,,COUNT,67,67,67,67,67,67,67,67
Jan,Arhar,15,14,290,400,5600,4060,1540,110,,,MEAN,48.80597015,46.25373134,212.3880597,256.119403,10490.83582,8781.41791,1709.41791,43.73134328
Jan,Rice,80,75,135,150,11250,10125,1125,15,,,STD.,28.11084057,27.58202274,262.1969509,313.9645088,13181.45424,10649.60935,2901.097661,62.51559371
Jan,Wheat Flour,50,48,30,45,2160,1440,720,15,,,MIN,15,14,30,44,792,540,72,4
Jan,Cashew,30,28,900,1000,28000,25200,2800,100,,,25%,27.5,25.5,40,45,2160,1710,272.5,8
Jan,Almonds,25,23,860,950,21850,19780,2070,90,,,50%,40,38,135,150,5760,5130,720,15
Jan,Mustard Oil,100,95,150,160,15200,14250,950,10,,,75%,60,58,225,310,13040,10312.5,1970,95
Jan,Raisins,20,18,250,320,5760,4500,1260,70,,,MAX,150,145,900,1200,69600,52200,17400,300
Feb,Sugar,40,35,40,44,1540,1400,140,4,,,,,,,,,,,
Feb,Rice,50,45,135,145,6525,6075,450,10,,,,,,,,,,,
Feb,Wheat Flour,40,38,30,45,1710,1140,570,15,,,,,,,,,,,
Feb,Mustard Oil,70,65,150,155,10075,9750,325,5,,,,,,,,,,,
Mar,Sugar,60,58,40,48,2784,2320,464,8,,,,,,,,,,,
Mar,Arhar,20,19,290,410,7790,5510,2280,120,,,,,,,,,,,
Mar,Rice,100,98,135,155,15190,13230,1960,20,,,,,,,,,,,
Mar,Wheat Flour,80,78,30,50,3900,2340,1560,20,,,,,,,,,,,
Mar,Cashew,50,48,900,1200,57600,43200,14400,300,,,,,,,,,,,
Mar,Almonds,40,38,860,1000,38000,32680,5320,140,,,,,,,,,,,
Mar,Raisins,45,42,250,350,14700,10500,4200,100,,,,,,,,,,,
Mar,Mustard Oil,120,115,150,165,18975,17250,1725,15,,,,,,,,,,,
Mar,Festival Colors,40,38,200,300,11400,7600,3800,100,,,,,,,,,,,
Apr,Sugar,35,32,40,44,1408,1280,128,4,,,,,,,,,,,
Apr,Rice,40,38,135,145,5510,5130,380,10,,,,,,,,,,,
Apr,Wheat Flour,30,28,30,45,1260,840,420,15,,,,,,,,,,,
Apr,Mustard Oil,60,55,150,155,8525,8250,275,5,,,,,,,,,,,
May,Sugar,30,28,40,44,1232,1120,112,4,,,,,,,,,,,
May,Rice,35,32,135,145,4640,4320,320,10,,,,,,,,,,,
May,Wheat Flour,25,23,30,45,1035,690,345,15,,,,,,,,,,,
May,Mustard Oil,50,48,150,155,7440,7200,240,5,,,,,,,,,,,
Jun,Sugar,25,22,40,44,968,880,88,4,,,,,,,,,,,
Jun,Rice,30,28,135,145,4060,3780,280,10,,,,,,,,,,,
Jun,Wheat Flour,20,18,30,45,810,540,270,15,,,,,,,,,,,
Jun,Mustard Oil,45,42,150,155,6510,6300,210,5,,,,,,,,,,,
Jul,Sugar,25,22,40,44,968,880,88,4,,,,,,,,,,,
Jul,Rice,30,28,135,145,4060,3780,280,10,,,,,,,,,,,
Jul,Wheat Flour,25,22,30,45,990,660,330,15,,,,,,,,,,,
Jul,Mustard Oil,40,38,150,155,5890,5700,190,5,,,,,,,,,,,
Aug,Sugar,20,18,40,44,792,720,72,4,,,,,,,,,,,
Aug,Rice,25,22,135,145,3190,2970,220,10,,,,,,,,,,,
Aug,Wheat Flour,20,18,30,45,810,540,270,15,,,,,,,,,,,
Aug,Mustard Oil,35,32,150,155,4960,4800,160,5,,,,,,,,,,,
Sep,Sugar,40,38,40,45,1710,1520,190,5,,,,,,,,,,,
Sep,Arhar,15,14,290,400,5600,4060,1540,110,,,,,,,,,,,
Sep,Rice,50,48,135,150,7200,6480,720,15,,,,,,,,,,,
Sep,Wheat Flour,40,38,30,45,1710,1140,570,15,,,,,,,,,,,
Sep,Mustard Oil,60,58,150,160,9280,8700,580,10,,,,,,,,,,,
Oct,Sugar,70,68,40,48,3264,2720,544,8,,,,,,,,,,,
Oct,Arhar,25,23,290,410,9430,6670,2760,120,,,,,,,,,,,
Oct,Rice,120,118,135,155,18290,15930,2360,20,,,,,,,,,,,
Oct,Wheat Flour,100,98,30,50,4900,2940,1960,20,,,,,,,,,,,
Oct,Cashew,60,58,900,1200,69600,52200,17400,300,,,,,,,,,,,
Oct,Almonds,50,48,860,1000,48000,41280,6720,140,,,,,,,,,,,
Oct,Raisins,55,52,250,350,18200,13000,5200,100,,,,,,,,,,,
Oct,Mustard Oil,150,145,150,165,23925,21750,2175,15,,,,,,,,,,,
Oct,Festival Sweets,50,48,200,300,14400,9600,4800,100,,,,,,,,,,,
Nov,Sugar,50,48,40,45,2160,1920,240,5,,,,,,,,,,,
Nov,Arhar,20,18,290,400,7200,5220,1980,110,,,,,,,,,,,
Nov,Rice,80,75,135,150,11250,10125,1125,15,,,,,,,,,,,
Nov,Wheat Flour,60,58,30,45,2610,1740,870,15,,,,,,,,,,,
Nov,Cashew,30,28,900,1000,28000,25200,2800,100,,,,,,,,,,,
Nov,Mustard Oil,90,88,150,160,14080,13200,880,10,,,,,,,,,,,
Dec,Sugar,45,42,40,45,1890,1680,210,5,,,,,,,,,,,
Dec,Arhar,15,14,290,400,5600,4060,1540,110,,,,,,,,,,,
Dec,Rice,70,68,135,150,10200,9180,1020,15,,,,,,,,,,,
Dec,Wheat Flour,50,48,30,45,2160,1440,720,15,,,,,,,,,,,
Dec,Cashew,25,23,900,1000,23000,20700,2300,100,,,,,,,,,,,
Dec,Mustard Oil,80,75,150,160,12000,11250,750,10,,,,,,,,,,,
,GRAND TOTAL,3270,3099,14230,17160,702886,588355,114531,,,,,,,,,,,,